BIN,JOB SETUP,FILE NAME,LOGO, ARTWORK NO.,Printing Front,Ribbon Front,Printing Back,Ribbon Back
457036,AUF_CR_VISA_457036_DI,Zenith_CII_Young_Indian,,V00884,DG/UG,White,DG/UG,White
457036,AUF_CR_VISA_457036_DI,AUC_EM_B457036_L401,401,V00706,DG/UG,White,DG/UG,White
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L501,501,V01049,DG/UG,Black,DG/UG,Black
465523,AUF_CR_VISA_465523_DI,AUC_EM_B465523_L301,301,V00707,DG/UG,White,DG/UG,White
483976,AUF_CR_VISA_483976_DI,AUC_EM_B483976_L603,603,V00874,DG/UG,White,DG/UG,White
483976,AUF_CR_VISA_483976_DI,AUC_EM_B483976_L602,602,V00874,DG/UG,White,DG/UG,White
483976,AUF_CR_VISA_483976_DI,AUC_EM_B483976_L601,601,V00874,DG/UG,White,DG/UG,White
483894,AUF_CR_VISA_483894_DI,AUC_EM_B483894_L803,803,V00876,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L101_G0_Altura__,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L101_G1_Altura__,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L101_G2_Altura__,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G0_Altura_C_F,101,V00796,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G1_Altura_C_F,101,V00796,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G2_Altura_C_F,101,V00796,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G0_Altura_C_M,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G1_Altura_C_M,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_Celeb_DI,AUC_EM_B466505_L101_G2_Altura_C_M,101,V00703,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L102_G0,102,V00704,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L102_G1,102,V00704,DG/UG,White,DG/UG,White
466505,AUF_CR_VISA_466505_DI,AUC_EM_B466505_L102_G2,102,V00705,DG/UG,White,DG/UG,White
457036,AUF_CR_PP,PP_B457036_L401,401,Inf. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,PP_B465523_L301,301,Sign. PP,Embossing,Gold,N/A,N/A
465523,AUF_CR_PP,PP_B465523_L301,301,Sign. PP,Embossing,Gold,N/A,N/A
457036,AUF_CR_PP,PP_B457036_L402,402,Sign. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_PP,PP_B653023_L910,402,Sign. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_PP,PP_B653023_L912,402,Sign. PP,Embossing,Gold,N/A,N/A
653023,AUF_CR_RUPAY_653023_DI,AUC_EM_B653023_L911_G0_Rupay_Business_Cashback_Credit_Card,911,R01064,DG/UG,White,DG/UG/Indent,White/Black
653023,AUF_CR_RUPAY_653023_DI,AUC_EM_B653023_L911_G1_Rupay_Business_Cashback_Credit_Card,911,R01064,DG/UG,White,DG/UG/Indent,White/Black
653023,AUF_CR_RUPAY_653023_DI,AUC_EM_B653023_L911_G2_Rupay_Business_Cashback_Credit_Card,911,R01064,DG/UG,White,DG/UG/Indent,White/Black
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L503_G1_IXIGO_AU_Credit_Card,503,V01112,DG/UG,Silver,DG/UG,Silver
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L503_G2_IXIGO_AU_Credit_Card,503,V01112,DG/UG,Silver,DG/UG,Silver
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L503_G0_IXIGO_AU_Credit_Card,503,V01112,DG/UG,Silver,DG/UG,Silver
457036,AUF_CR_VISA_457036_INFINEON,AUC_EM_B457036_L402_G1_Zenith_Plus,402,V01076,Laser,Gold,Laser,Gold
457036,AUF_CR_VISA_457036_INFINEON,AUC_EM_B457036_L402_G2_Zenith_Plus,402,V01076,Laser,Gold,Laser,Gold
457036,AUF_CR_VISA_457036_INFINEON,AUC_EM_B457036_L402_G0_Zenith_Plus,402,V01076,Laser,Gold,Laser,Gold
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L504_G1_ABC_FLEX,504,V01153,DG/UG,White,DG/UG,White
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L504_G2_ABC_FLEX,504,V01153,DG/UG,White,DG/UG,White
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L505_G1_ABC_NXT,505,V01154,DG/UG,White,DG/UG,White
406977,AUF_CR_VISA_406977_INFINEON,AUC_EM_B406977_L505_G2_ABC_NXT,505,V01154,DG/UG,White,DG/UG,White
465523,AUF_CR_VISA_465523_INFINEON,AUC_EM_B465523_L306_G1_ABC_PRO,306,V01152,DG/UG,White,DG/UG,White
465523,AUF_CR_VISA_465523_INFINEON,AUC_EM_B465523_L306_G2_ABC_PRO,306,V01152,DG/UG,White,DG/UG,White
465523,AUF_CR_PP,PP_B465523_L306,306,Sign. PP,Embossing,Gold,N/A,N/A
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L701_G0_Purchase_Reward_Credit_Card,701,V00875,DG/UG,White,DG/UG,White
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L701_G1_Purchase_Reward_Credit_Card,701,V00875,DG/UG,White,DG/UG,White
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L701_G2_Purchase_Reward_Credit_Card,701,V00875,DG/UG,White,DG/UG,White
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L702_G0_Purchase_Credit_Card,702,V00875,DG/UG,White,DG/UG,White
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L702_G1_Purchase_Credit_Card,702,V00875,DG/UG,White,DG/UG,White
483974,AUF_CR_VISA_483974_INFINEON,AUC_EM_B483974_L702_G2_Purchase_Credit_Card,702,V00875,DG/UG,White,DG/UG,White
406977,AUF_CR_PP,PP_B406977_L503,503,Inf. PP,Embossing,Gold,N/A,N/A
483894,AUF_CR_VISA_483894_INFINEON,AUC_EM_B483894_L804_G1_ABC_BIZ,804,V01177,DG/UG,White,DG/UG,White
483894,AUF_CR_VISA_483894_INFINEON,AUC_EM_B483894_L804_G2_ABC_BIZ,804,V01177,DG/UG,White,DG/UG,White
466572,AUF_CR_RUPAY_466572_DI,AUC_EM_B466572_L201_G1_AU_NOMO,201,V01228,DG/UG,White,DG/UG,White
466572,AUF_CR_RUPAY_466572_DI,AUC_EM_B466572_L201_G2_AU_NOMO,201,V01228,DG/UG,White,DG/UG,White
653063,AUF_CR_RUPAY_653063_DI,AUC_EM_B653063_L914_G0_AU_SPONT,914,RO1227,DG/UG,Black,DG/UG,White
653063,AUF_CR_RUPAY_653063_DI,AUC_EM_B653063_L914_G1_AU_SPONT,914,RO1227,DG/UG,Black,DG/UG,White
